lat,long,Construction year,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365,service fee,host_identity_verified_unconfirmed,host_identity_verified_verified,neighbourhood group_Bronx,neighbourhood group_Brooklyn,neighbourhood group_Manhattan,neighbourhood group_Queens,neighbourhood group_Staten Island,instant_bookable_False,instant_bookable_True,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,room type_Entire home/apt,room type_Private room,room type_Shared room,price
40.64749,-73.97237,2020,10,9,0.21,4,6,286,193,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,966
40.75362,-73.98377,2007,30,45,0.38,4,2,228,28,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,142
40.68514,-73.95976,2005,30,270,4.64,4,1,322,74,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,368
40.79851,-73.94399,2009,10,9,0.1,3,1,289,41,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,204
40.74767,-73.9750,2013,3,74,0.59,3,1,374,115,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,577
40.68688,-73.95596,2009,45,49,0.4,5,1,219,212,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1060
40.76489,-73.98493,2005,2,430,3.47,3,1,180,204,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1018
40.80178,-73.96723,2015,2,118,0.99,5,1,375,58,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,291
40.71344,-73.99037,2004,1,160,1.33,3,4,1,64,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,319
40.80316,-73.96545,2008,5,53,0.43,4,1,163,121,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,606
40.76076,-73.98867,2008,2,188,1.5,4,1,258,143,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,714
40.66829,-73.98779,2010,4,167,1.34,4,3,47,116,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,580
